Graph4
Time (Seconds),x (Meters),Y (Meters),Z (Meters)
0.000000,6.186732,-2.968857,0.236711
0.050000,6.187569,-2.967618,0.237455
0.100000,6.190396,-2.963633,0.237374
0.150000,6.192623,-2.959058,0.237320
0.200000,6.195188,-2.954584,0.237316
0.250000,6.197989,-2.950631,0.237341
0.300000,6.201438,-2.946968,0.237270
0.350000,6.205546,-2.943911,0.237322
0.400000,6.210320,-2.941336,0.237332
0.450000,6.214908,-2.938667,0.237300
0.500000,6.218735,-2.935750,0.237276
0.550000,6.222116,-2.932868,0.237308
0.600000,6.225255,-2.929353,0.237325
0.650000,6.228356,-2.925553,0.237302
0.700000,6.231451,-2.921792,0.237299
0.750000,6.234934,-2.918169,0.237278
0.800000,6.238273,-2.914439,0.237277
0.850000,6.241328,-2.910692,0.237284
0.900000,6.244411,-2.906915,0.237284
0.950000,6.247479,-2.903148,0.237292
1.000000,6.250560,-2.899375,0.237288
1.050000,6.253657,-2.895604,0.237274
1.100000,6.256731,-2.891856,0.237291
1.150000,6.259811,-2.888068,0.237282
1.200000,6.262249,-2.883611,0.237251
1.250000,6.265001,-2.879566,0.237255
1.300000,6.267561,-2.875290,0.237264
1.350000,6.270248,-2.871146,0.237255
1.400000,6.273282,-2.867360,0.237272
1.450000,6.276775,-2.863784,0.237263
1.500000,6.280089,-2.860165,0.237281
1.550000,6.283045,-2.856373,0.237318
1.600000,6.286100,-2.852583,0.237309
1.650000,6.289180,-2.848749,0.237279
1.700000,6.291868,-2.844728,0.237327
1.750000,6.294607,-2.840647,0.237323
1.800000,6.297648,-2.836761,0.237285
1.850000,6.300641,-2.832966,0.237305
1.900000,6.303624,-2.829175,0.237330
1.950000,6.306644,-2.825330,0.237313
2.000000,6.310195,-2.821847,0.237310
2.050000,6.314281,-2.818932,0.237338
2.100000,6.319060,-2.816607,0.237339
2.150000,6.323704,-2.814162,0.237318
2.200000,6.327512,-2.811550,0.237281
2.250000,6.330646,-2.808650,0.237322
2.300000,6.333331,-2.805209,0.237299
2.350000,6.336364,-2.801649,0.237324
2.400000,6.339664,-2.798026,0.237305
2.450000,6.342954,-2.794436,0.237308
2.500000,6.346261,-2.790821,0.237291
2.550000,6.349538,-2.787220,0.237280
2.600000,6.352812,-2.783606,0.237268
2.650000,6.356046,-2.779981,0.237278
2.700000,6.359683,-2.776769,0.237279
2.750000,6.363267,-2.773303,0.237277
2.800000,6.366596,-2.769633,0.237225
2.850000,6.369840,-2.766094,0.237260
2.900000,6.373102,-2.762514,0.237270
2.950000,6.375819,-2.758337,0.237253
3.000000,6.378907,-2.754441,0.237242
3.050000,6.381609,-2.750239,0.237262
3.100000,6.383493,-2.745274,0.237280
3.150000,6.385856,-2.740686,0.237272
3.200000,6.388638,-2.736714,0.237266
3.250000,6.391962,-2.733347,0.237298
3.300000,6.395159,-2.729847,0.237306
3.350000,6.398884,-2.726577,0.237286
3.400000,6.402469,-2.723183,0.237284
3.450000,6.405605,-2.719576,0.237304
3.500000,6.408451,-2.715597,0.237308
3.550000,6.411530,-2.711692,0.237250
3.600000,6.414655,-2.708013,0.237295
3.650000,6.417817,-2.704302,0.237291
3.700000,6.420948,-2.700656,0.237309
3.750000,6.424105,-2.696970,0.237332
3.800000,6.427286,-2.693249,0.237316
3.850000,6.430447,-2.689544,0.237327
3.900000,6.433652,-2.685769,0.237274
3.950000,6.436782,-2.682126,0.237316
4.000000,6.439974,-2.678391,0.237292
4.050000,6.443124,-2.674711,0.237302
4.100000,6.446320,-2.670955,0.237266
4.150000,6.449844,-2.667618,0.237291
4.200000,6.453373,-2.664023,0.237298
4.250000,6.456566,-2.660346,0.237303
4.300000,6.459785,-2.656644,0.237286
4.350000,6.462968,-2.652981,0.237300
4.400000,6.466164,-2.649311,0.237301
4.450000,6.469395,-2.645598,0.237271
4.500000,6.472591,-2.641904,0.237266
4.550000,6.476183,-2.638603,0.237292
4.600000,6.479673,-2.635147,0.237271
4.650000,6.482884,-2.631565,0.237283
4.700000,6.486535,-2.628277,0.237264
4.750000,6.490006,-2.624796,0.237278
4.800000,6.493252,-2.621082,0.237239
4.850000,6.496438,-2.617520,0.237284
4.900000,6.499679,-2.613886,0.237284
4.950000,6.502923,-2.610273,0.237289
5.000000,6.506162,-2.606654,0.237294
5.050000,6.509438,-2.602990,0.237270
5.100000,6.512660,-2.599334,0.237258
5.150000,6.516560,-2.596257,0.237276
5.200000,6.520173,-2.592839,0.237274
5.250000,6.523412,-2.589277,0.237277
5.300000,6.526690,-2.585640,0.237280
5.350000,6.529905,-2.582096,0.237325
5.400000,6.532757,-2.578050,0.237289
5.450000,6.535794,-2.574153,0.237266
5.500000,6.538976,-2.570591,0.237336
5.550000,6.542273,-2.566869,0.237287
5.600000,6.545465,-2.563301,0.237338
5.650000,6.549077,-2.560168,0.237335
5.700000,6.552541,-2.556742,0.237270
5.750000,6.556189,-2.553632,0.237321
5.800000,6.559851,-2.550346,0.237333
5.850000,6.563786,-2.547316,0.237317
5.900000,6.567638,-2.544185,0.237343
5.950000,6.571622,-2.541259,0.237310
6.000000,6.575650,-2.538361,0.237318
6.050000,6.579128,-2.535005,0.237276
6.100000,6.582552,-2.531586,0.237297
6.150000,6.585946,-2.528108,0.237314
6.200000,6.589345,-2.524624,0.237320
6.250000,6.592774,-2.521123,0.237295
6.300000,6.596158,-2.517634,0.237312
6.350000,6.599572,-2.514141,0.237298
6.400000,6.602979,-2.510650,0.237296
6.450000,6.605959,-2.506735,0.237256
6.500000,6.608255,-2.502295,0.237263
6.550000,6.610744,-2.498007,0.237262
6.600000,6.613826,-2.494469,0.237267
6.650000,6.617084,-2.491032,0.237295
6.700000,6.620384,-2.487465,0.237296
6.750000,6.623689,-2.483876,0.237277
6.800000,6.626967,-2.480285,0.237282
6.850000,6.630262,-2.476691,0.237257
6.900000,6.633548,-2.473091,0.237280
6.950000,6.636815,-2.469508,0.237300
7.000000,6.640099,-2.465942,0.237308
7.050000,6.643826,-2.462901,0.237289
7.100000,6.647995,-2.460411,0.237315
7.150000,6.652194,-2.457643,0.237294
7.200000,6.655751,-2.454532,0.237311
7.250000,6.659204,-2.451165,0.237305
7.300000,6.662578,-2.447710,0.237326
7.350000,6.665984,-2.444239,0.237323
7.400000,6.669795,-2.441323,0.237328
7.450000,6.673508,-2.438011,0.237304
